unit: cm^{-1}, only max(dg)>1.000e-04 are saved; dg/dQ_alpha * Q_alpha 
mode    6 freq=   12.9000 
-0.05328997552870521 -0.18697327988418558 0.07644739944955616 -0.07328970958921177 -0.29527077235581584 0.12815599493741991 0.021673122134632565 0.11378482684497217 -0.044263169657451105 0.15441397792312292 -0.105753308954984 -0.17479966196169028 0.00042290844434700044 -0.007653520076899256 -0.005052446016534961 -0.16212737884169964 0.10529671753719344 0.17387525146829463 -0.03899365558983538 -0.15028968495258846 0.06385543254379224 -0.062029066872629955 -0.2422442024535248 0.10564477492944362 -0.043013157087434306 -0.17603096176868288 0.07711529642274287 0.031751816299468605 0.0846453122636824 -0.03709618141918114 0.10291363380658074 0.10532575332600759 -0.13630901267036966 0.16006284483438057 -0.02723684957352814 -0.19467121483581232 0.06457666170606838 -0.0004246549226842896 -0.08261596266520314 0.0440105133701101 -0.028060354004606568 -0.050502814516680546 0.18773983690642482 -0.22390083556403936 -0.19488608755162334 0.1667516245362395 -0.2987805113352124 -0.1671363160113205 0.028012166211961544 -0.086344493121112 -0.02859644319778248 0.05565991224204508 -0.1134360717110842 -0.05253874875593289 0.05683850533715467 -0.0777008078154105 -0.05759244350957997 0.1515788382488103 -0.28594359940998676 -0.15460091902602327 0.048493985910791036 -0.06743078450793939 -0.050817039081219983 0.05463290991129797 -0.11088613435028492 -0.05055501795871266 0.02130603173552879 -0.0855032145745176 -0.024430206958681294 0.2879467676315798 -0.21886518949833936 -0.29417461070113443 0.0931721009915041 -0.04850502894660552 -0.09541684899888489 0.09164615422441161 -0.09091630994830883 -0.09244727627713517 0.0883402708664935 -0.051013805901187176 -0.0905418506429631 0.15585896412020708 -0.028758287029028693 -0.18741406214374362 0.06160708898431867 -0.020072223461346777 -0.07146550822961353 0.048563255862718264 0.020179642082451314 -0.062421261897550255 0.08362360902909537 -0.0123551811591332 -0.10340229595060257 -0.06535249680722993 0.0365075675540839 0.07053716749841178 -0.04960440615166156 0.06569906570369932 0.05058519612866989 -0.029845310157166065 0.02942567479621563 0.03243440009948943 0.035509449132252104 0.050009891760530736 -0.04945538152617973 0.014289688343943684 0.02044768667903927 -0.019354426133405246 0.10319435461272095 0.012802255035578691 -0.12763785888070592 0.04953705083908649 0.0016996236030839297 -0.05997974707020228 -0.15705116112406173 0.055672827528840306 0.17397065464969658 -0.0583664599289407 0.03792680454867559 0.062142174265147815 -0.05491099363135364 -0.01237522749865068 0.0643206640576417 -0.23518165314411751 0.09763192382438748 0.2506802141942279 -0.2926219820449516 0.17929741858843087 0.31574852450635293 -0.07692879922074333 0.08000980621298466 0.08528737341996176 -0.10306164151954887 0.05327060085672922 0.11026872825702054 -0.08846174426045283 0.04141640386605288 0.09447718704230687 -0.27165802949751916 -0.024748484896878028 0.28228729755223486 -0.08145242825529513 -0.016494279857453612 0.08412584683474728 -0.09473820425246743 -0.007427947453761369 0.09980695769131609 -0.06867162016854882 -0.023900141239586007 0.06931111233344217 -0.22850327050915267 0.13865528409946734 0.24582478395469198 -0.06086419384770786 0.06611365150897536 0.06665375635153835 -0.054333744031960104 0.025092789107550396 0.0577420264492489 -0.08258986094418708 0.037486087028442965 0.08873079276938756 -0.11141843452593918 0.22324928603867694 0.10454943899791619 -0.02522530553732422 0.07393714042736466 0.021199617026771023 -0.04587176686102422 0.08758332095702788 0.044471309137278155 -0.032265564261298764 0.22351614408895834 0.012518068540473807 -0.006110009644755072 0.34651344544593937 -0.02452668080313763 -0.014275633571088884 0.12782815911439857 0.005844777682902917 0.07696602052791868 0.34671098971692693 -0.1203321865431315 0.028629572305225937 0.1280440002689544 -0.04370632792903837 0.13354339287654404 0.22540494457471644 -0.17857655528377459 0.05815664224846548 0.06505452398313155 -0.07417205591650915 -0.02833200728637136 -0.10844833908319665 0.04535893716991173 -0.004729431065639925 -0.017103654651943835 0.007092640729939731 -0.03416129612498624 -0.13400432950884833 0.05624813189697948 -0.008120646973033614 -0.03189228743223289 0.01310808351179378 -0.04640904092621393 -0.18414245176107272 0.0787300562109478 -0.01445533388116096 -0.05780728075178904 0.02472736501332562 -0.05369045344103549 -0.21212789015097472 0.09160855640374975 -0.04977769059989626 -0.19504897493296394 0.08413306530690534 -0.05853895230264204 -0.2295845654661371 0.10017920521343739 -0.06594859530915727 -0.2573863223409103 0.11287748958007526 -0.07217643837871193 -0.2827863567631508 0.12465043499313991 -0.06347755907733062 -0.24986231159856018 0.10968559004359231 -0.0573987406332578 -0.2284790106863998 0.09984996476179148 -0.02806168354712525 -0.12445635641111706 0.054262292120209964 -0.012187495889804435 -0.05102585284934843 0.021613228913640828 0.011187243978031407 0.013228534778236023 -0.004501929965137174 0.07005543673231936 0.24714521145024032 -0.1082577261901385 0.10119465208009265 0.37026381192098556 -0.1614872429988697 0.02751824133735003 0.09958308523798608 -0.04358184279803872 0.1415006147394809 0.5350261309914909 -0.2325304010861268 0.04822292957716277 0.1845451910575939 -0.0801593891526536 0.14999155270298056 0.5711420756925644 -0.24798390817969623 0.05265118693877128 0.20299308434186458 -0.08802905803899437 0.11781956204372854 0.44414883495929147 -0.192751223149372 0.0360856293046969 0.13762835144358068 -0.059537021725276106 0.07786016828080966 0.2816842676723782 -0.12255022748053548 0.039540045398190934 0.12701750055602573 -0.054400919678797705 -0.09319584194957949 0.170355941059521 0.03039062653139945 -0.033899108213428855 0.015281553742553796 0.025706179551427705 -0.020146512975007858 0.07405660599663044 -0.00486495923245406 -0.0547895202373943 0.06845176336460587 0.023184351736338024 0.162117998390444 0.03973758966917847 -0.12034258361002557 0.07714162863825887 0.0018100539612287804 -0.05319329960602782 0.05324148739867284 0.03840567073808554 -0.043660147961086894 0.03647715511993774 -0.023450388508232438 -0.021764819678003307 0.007024951531434221 0.007111593755551563 0.0045088613430665616 -0.04378563700443331 0.03393826079495294 0.031393342995887516 0.04055705489721658 0.019748963685686394 -0.036763270138767574 0.004399143903552144 -0.06316014138477398 0.018208962145739114 -0.06068421377178747 -0.24157584928397746 0.10501037563022046 -0.022358131874945186 -0.08743273410501218 0.03859139452223825 -0.018562339291802635 -0.07356569285905923 0.032135234220151555 -0.0747306511456912 -0.29144364779695575 0.12861518316874954 -0.02392925469764238 -0.09309680756549624 0.041290914822706457
 -7.2056733e-04  -2.7461724e-03  -1.1417909e-03 
 -2.2832854e-03  -2.2140116e-03   7.9574871e-05 
 -1.1374224e-03   1.6271140e-04  -2.1252059e-03 
mode    7 freq=   20.8400 
0.04605178588322064 0.15882565032669 -0.07087526887445295 -0.07365769808903208 -0.29853867022922004 0.13267985356021086 0.01056896855607017 0.03572640716580944 -0.022736007074407323 0.05613828907261068 0.06893033387595623 0.11044646992145425 -0.009161768776650063 -0.037971938728713864 0.020067567067155897 -0.04271749543165189 -0.02901601034533004 -0.1280177544011814 0.03253775234648515 0.12239269783610582 -0.05352598735443186 0.023057866598423626 0.0841962059511015 -0.03732073457547158 -0.022051119947721475 -0.09492236171657498 0.04431556539391888 -0.10836935322576766 -0.428417481781326 0.20001323886050215 0.02911525299239215 0.05698632364645924 0.025205955840217602 0.05964797277134404 0.09364638151498968 0.08289234865754498 0.020944623290691095 0.02639084777192578 0.03772100251758747 0.022923334526177466 0.04312405876791098 0.01829730643225499 0.08334288822295517 0.09378847476254211 0.1431641454425339 0.07482769043670263 0.08212989708531236 0.17132979965859996 0.020145509062661087 0.02248562874298515 0.04233699148804222 0.027596546500398195 0.029898517511544948 0.05611468453513251 0.01601641758039044 0.01706349815807298 0.05625021270194664 0.11349091652682605 0.13020940009250867 0.11714721838457795 0.035734259983326924 0.042539781782090044 0.027686898611607617 0.03956920514799356 0.04167039368978604 0.04168344455029407 0.029503979959263796 0.03667592976459847 0.027773235073429957 0.09216999801603014 0.09853993433313724 0.1845479373699419 0.019300214866679592 0.01926106228515551 0.06009820872712131 0.03324556127568069 0.034717296776047527 0.0632996852009752 0.030005936132649482 0.03302871620877808 0.047341494536697504 0.028883051831757666 -0.0007000691708681364 0.1296410271022989 0.011560050673072328 -0.001852218279793178 0.05311700226767319 0.005608858281411645 -0.0051641251117919285 0.035762369529036525 -0.0022561635160156276 -0.048876611469075876 0.09488363247538534 -0.040305962659388246 -0.08398404068142351 -0.022190806440934047 -0.06627090438287378 -0.14768686954145924 0.014871271347500856 -0.02669402930065073 -0.054163078933008965 -0.005426146234299256 -0.05905533995838141 -0.16069013453699016 0.09567034387037082 -0.02286711543475827 -0.06086620167240141 0.036702031485614524 -0.027039305302540596 -0.11117237060944594 0.13584114466013603 -0.00631561257353869 -0.035172069069134955 0.05734146542288712 -0.04563619228708723 -0.06691552253030682 -0.10722495087865977 -0.016173027906486774 -0.03538289066195694 -0.03975593284449303 -0.012083089005740212 -0.009074363702466415 -0.03855625759010125 -0.05129219667746742 -0.006449647163295059 -0.16998164665133408 -0.10780372093576363 -0.038569652488076686 -0.200559420386827 -0.04075482562953055 -0.01732049971884645 -0.06294430023021814 -0.028520145859427855 -0.007474127421712851 -0.07144643389502486 -0.036816477493146454 -0.016585635881009808 -0.047773176845809194 -0.026827898275694276 0.0004124169867985556 -0.15167934322878643 -0.015440171893343672 -0.01707052554450038 -0.032806851580141606 -0.01458785031093478 0.009453842569545992 -0.06110613672327976 0.012025866001974243 0.00967169154879538 -0.03448238128690302 -0.028269624885006873 0.0373947839290455 -0.20890133372484482 -0.011872267412918225 0.014678202422144205 -0.06597812334216123 0.004061829355036964 0.01344439414796219 -0.05770186995537804 -0.012222632821941432 0.014579819012160608 -0.06606546371633033 -0.042638371332627135 -0.0464818203944725 -0.10650408757400347 -0.01477859365682134 -0.026349687365708155 -0.022625172559186373 -0.017711021621740514 -0.015551606163835295 -0.043040734043128956 -0.017238336910386686 -0.0083661731607707 -0.06933110773869836 -0.02494256347890088 -0.020957021169503074 -0.07794334481596231 -0.01372247786801786 -0.015436156243956589 -0.03421935625204892 -0.004196949336244125 0.006879392594917082 -0.03310772667971935 -0.0027928841487179523 -0.0008101572638444958 -0.011156477909670236 0.022814630454578922 0.04528269201268847 0.020430236446869626 0.011176556156605665 0.01876312176115691 0.01693901302707333 0.034896022185501314 0.13237892138440696 -0.058015633268973285 0.01380479868045311 0.053941214304372494 -0.023562826691070828 0.022190806440934047 0.0813327886234328 -0.035724321848063116 0.008052380933453162 0.030033041766012313 -0.013160286953825893 0.00012476480272897482 -0.005597087677980397 0.0026685805028141833 -0.004160212765020558 -0.018366576384182216 0.008127674359461014 -0.004131101245914943 -0.021473408825242443 0.010220316756881852 0.014091491330444766 0.049853935757119515 -0.021476874514207135 0.014067231507691909 0.0482562531443957 -0.02119615370806694 0.025320323576052496 0.09452666651202188 -0.04113772801091475 0.015356467802557982 0.05262302123990981 -0.0217749237651708 0.005857014350332429 0.01515892353157044 -0.005697592657956516 -0.017349238957256884 -0.07584660299232261 0.03440736004147949 -0.062001175578371086 -0.2530611425129725 0.11228832245607731 -0.031119274925218935 -0.12336576873299983 0.05155089900670986 -0.03928358441480359 -0.18096094929148387 0.08541190453487733 -0.05705217173678843 -0.19604709335479575 0.0826532161189811 -0.0954624025324892 -0.3099192356677381 0.12950239954371115 -0.04944971046491738 -0.17004869677021534 0.07378153401361509 -0.032120005324781625 -0.043227538456625074 0.0008317653515264987 -0.017294397997830394 -0.03378968176763078 0.008591481863669386 0.06560202641268789 0.3174016581425119 -0.16546585393033814 0.03296546973093148 0.15097436218155927 -0.07640877262511575 0.10147190719726815 0.42141391535090056 -0.2081007595740006 0.05128988179654931 0.20390664457742652 -0.09803003283753076 0.03922813339136849 0.16053764422254363 -0.08226852464390011 0.05467470910700851 0.17917958516363128 -0.08375530520975373 -0.19233187478464403 0.33837254206787376 -0.33282397403539904 -0.05213316816783725 0.0924181628190788 -0.09031095080320568 -0.0356649900313997 0.1709050340020113 -0.13624094458034264 -0.1315195448134769 0.06674912802448164 -0.11597797777310932 0.39553908154049705 0.3425209717586122 0.021289727310113672 0.17141602538651793 0.06406667423390854 0.055669951365512796 0.13391688749756694 0.17713732185076794 -0.023281731233974846 0.11114815547279225 0.09282273949482767 0.007433970927841997 -0.2143355340214846 -0.7815232586053336 0.3866357265901988 -0.1735975269160521 -0.2273981934918766 0.1068714888755462 0.004417214325794029 -0.23085466370181043 0.11861224377103739 -0.042648204315541345 -0.3073076084701841 0.15788730260142694 -0.032823540184614454 -0.13515493824512664 0.06055251759112911 0.003799808232529636 0.012523806525972844 -0.005014542172122994 0.007916852766639027 0.031551961146677396 -0.013734524816179117 0.025490142335322492 0.0934626999998609 -0.04002177616428336 0.009199852745812837 0.03427557534346812 -0.014745464549377885
 -7.5151443e-04  -1.1973491e-03   1.5403030e-03 
 -1.1399529e-03   1.6355456e-03  -6.9000715e-04 
  1.5287362e-03  -5.7136716e-04   1.7640894e-03 
